Corrected_Strain Ht_.in. Ht_.cm. Yld_.bu.a. Yld_.kg.ha. Moisture Protein Oil Fiber X100_sdwt_.g.
IA3023 36 91.44 55.3 3718.93 6.62 31.43 20.84 4.9 7.9
TN05-3027 33 83.82 45.9 3086.78 7.1 32.99 19.87 4.84 13.61
DS11-02003 37 93.98 43.4 2918.65 7.07 32.34 20.77 4.84 13.04
DS11-02005 41 104.14 51.8 3483.55 7.1 32.42 20.37 4.8 15.19
DS11-02006 37 93.98 50.9 3423.03 7.27 31.03 20.57 4.96 13.24
DS11-02007 38 96.52 49.5 3328.88 7.3 31.75 20.51 4.89 13.47
DS11-02014 29 73.66 35.7 2400.83 7.3 32.53 20.05 4.87 13.38
DS11-02017 37 93.98 49.6 3335.6 7.29 33.58 19.35 4.84 13.41
DS11-02019 35 88.9 45.6 3066.6 7.28 32.32 20.87 4.72 15.13
DS11-02022 34 86.36 50.5 3396.13 7.29 32.15 20.66 4.8 15.59
DS11-02023 37 93.98 46.7 3140.58 7.29 32.65 19.22 4.96 11.2
DS11-02024 33 83.82 43.1 2898.48 7.17 33.51 19.92 4.77 12.38
DS11-02025 40 101.6 43.1 2898.48 7.15 33.25 19.29 4.9 12.63
DS11-02026 38 96.52 45.4 3053.15 7.13 31.11 20.17 4.92 13.12
DS11-02027 36 91.44 55.3 3718.93 7.11 31.57 20.98 4.84 14.82
DS11-02029 32 81.28 46.4 3120.4 7.32 32.39 20.52 4.8 14.36
DS11-02030 36 91.44 51.6 3470.1 7.18 32.14 20.02 4.94 12.66
DS11-02031 37 93.98 49.4 3322.15 7.11 34 19.63 4.77 14.73
DS11-02032 37 93.98 49.7 3342.33 6.9 32.35 20.9 4.78 13.9
DS11-02033 33 83.82 43.6 2932.1 6.87 31.7 20.92 4.83 13.67
DS11-02035 35 88.9 53.4 3591.15 7 33.12 20.46 4.74 14.3
DS11-02036 40 101.6 43.5 2925.38 7.16 30.01 20.68 4.97 12.4
DS11-02037 40 101.6 48.4 3254.9 7.21 31.52 20.37 4.91 14.47
DS11-02038 34 86.36 43 2891.75 7.35 33.24 20.12 4.77 14.73
DS11-02040 42 106.68 49 3295.25 7.6 32.94 19.71 4.84 13.47
DS11-02042 30 76.2 47.8 3214.55 7.42 31.91 20.26 4.91 13.75
DS11-02043 40 101.6 48.4 3254.9 7.42 31.83 20.31 4.9 13.15
DS11-02044 38 96.52 47.3 3180.93 7.49 32.13 21.12 4.73 15.5
4J105-3-4 31 78.74 41.4 2784.15 8.19 32.83 20.52 4.75 15.33
DS11-03003 33 83.82 54.7 3678.58 7.66 32.45 20.9 4.71 16.05
DS11-03004 38 96.52 59.1 3974.48 7.75 33.06 20.33 4.72 16.91
DS11-03005 40 101.6 57.8 3887.05 7.37 30.03 21.91 4.81 18.03
DS11-03006 28 71.12 41.2 2770.7 7.48 32.3 21.21 4.7 15.56
DS11-03007 30 76.2 52.4 3523.9 7.93 32.27 20.94 4.74 15.05
DS11-03008 38 96.52 51.4 3456.65 7.06 32.73 20.53 4.78 13.81
DS11-03009 33 83.82 54 3631.5 6.91 30.89 21.04 4.87 13.35
DS11-03010 33 83.82 45.3 3046.43 7 30.97 20.76 4.94 13.58
DS11-03011 26 66.04 42.4 2851.4 7.18 31.99 20.66 4.82 13.47
DS11-03012 33 83.82 55.6 3739.1 7.28 31.78 21.31 4.72 14.61
DS11-03013 40 101.6 54.9 3692.03 7.15 32.58 20.71 4.76 13.01
DS11-03014 36 91.44 65.4 4398.15 7.15 31.92 20.29 4.84 13.81
DS11-03015 35 88.9 50.7 3409.58 7.49 31.48 21.12 4.79 16.17
DS11-03016 32 81.28 39.4 2649.65 7.06 29.33 21.76 4.94 13.93
DS11-03017 29 73.66 46 3093.5 7.36 31.52 21.09 4.79 15.36
DS11-03018 24 60.96 41.1 2763.98 7.1 30.16 21.82 4.79 15.82
DS11-03019 36 91.44 58.6 3940.85 7.39 31.21 20.28 4.93 15.65
DS11-03020 35 88.9 62.5 4203.13 8.31 32.23 20.41 4.83 15.73
DS11-03021 34 86.36 55.2 3712.2 7.35 30.35 21.26 4.89 15.19
DS11-03022 33 83.82 53.9 3624.78 7.06 28.36 22.4 4.93 14.5
DS11-03023 28 71.12 40.8 2743.8 7.15 30.13 21.69 4.84 14.47
DS11-03024 34 86.36 53.2 3577.7 7.36 33.12 20.63 4.7 14.36
DS11-03025 32 81.28 55.1 3705.48 7.21 29.93 21.57 4.91 16.05
DS11-03026 31 78.74 49.2 3308.7 7.62 31.93 20.94 4.73 16.05
DS11-03027 29 73.66 52.1 3503.73 7.24 31.19 21.62 4.76 15.91
DS11-03029 31 78.74 49.3 3315.43 7.2 30.48 21.69 4.84 12.98
DS11-03030 33 83.82 54 3631.5 7.27 31.37 21.51 4.73 16.71
DS11-03031 32 81.28 66.8 4492.3 7.45 30.56 21.1 4.85 18.18
DS11-03032 37 93.98 63.6 4277.1 7.56 30.86 21.38 4.79 17.2
DS11-03034 26 66.04 44.8 3012.8 7.13 29.8 21.72 4.88 17.6
DS11-03036 37 93.98 64.3 4324.18 7.14 29.79 21.4 4.91 15.73
DS11-03037 35 88.9 55.3 3718.93 7.39 31.69 20.23 4.91 13.98
DS11-03038 30 76.2 49.9 3355.78 7.17 31.75 21.49 4.71 13.58
DS11-03039 32 81.28 44.1 2965.73 7.19 31.88 21.53 4.68 13.81
5M20-2-5-2 29 73.66 43.8 2945.55 7.78 31.87 20.11 4.85 14.24
DS11-04002 30 76.2 39.9 2683.28 7.62 30.94 20.35 4.92 12.52
DS11-04003 34 86.36 45 3026.25 7.64 31.54 20.26 4.91 13.27
DS11-04006 28 71.12 38.5 2589.13 7.39 29.73 21.49 4.91 14.9
DS11-04007 28 71.12 41 2757.25 7.52 31.35 20.78 4.87 13.15
DS11-04008 31 78.74 47.4 3187.65 7.35 29.57 21.33 4.97 14.96
DS11-04009 28 71.12 45 3026.25 7.53 32.3 20.44 4.78 15.13
DS11-04010 27 68.58 42.7 2871.58 7.38 29.84 21.45 4.94 14.79
DS11-04012 32 81.28 37.4 2515.15 7.49 30.65 20.4 4.94 13.98
DS11-04013 30 76.2 42.9 2885.03 7.43 30.19 21.13 4.93 12.35
DS11-04015 28 71.12 45.1 3032.98 7.85 31.88 19.52 4.98 14.41
DS11-04016 31 78.74 42.7 2871.58 7.33 28.52 21.5 5.02 14.7
DS11-04017 30 76.2 38.6 2595.85 7.59 30 21.16 4.97 13.93
DS11-04023 28 71.12 42.4 2851.4 7.38 28.45 21.75 4.99 16.34
DS11-04027 30 76.2 40.3 2710.18 7.27 28.55 21.27 5.1 13.21
DS11-04028 31 78.74 44.9 3019.53 7.41 30.85 20.73 4.91 15.45
DS11-04029 30 76.2 39.9 2683.28 7.48 30.89 20.69 4.91 12.63
DS11-04030 29 73.66 41.1 2763.98 7.18 31.18 20.56 4.94 12.2
DS11-04032 34 86.36 39.2 2636.2 6.81 29.98 20.75 5.06 11.97
DS11-04033 27 68.58 42 2824.5 7.01 29.64 21.65 4.9 14.59
DS11-04035 32 81.28 45.9 3086.78 7.19 28.68 21.08 5.09 14.47
DS11-04036 29 73.66 44.4 2985.9 7.26 28.96 20.92 5.07 13.75
DS11-04037 30 76.2 42.6 2864.85 7.49 30.03 20.93 4.98 13.41
DS11-04039 34 86.36 40.3 2710.18 7.38 29.04 21.63 4.99 13.9
DS11-04040 30 76.2 43 2891.75 7.31 31.76 20.76 4.85 15.96
DS11-04041 30 76.2 45.4 3053.15 7.47 29.73 20.74 5.03 14.44
DS11-04043 36 91.44 45.3 3046.43 7.7 32.96 19.56 4.86 14.56
